VEND_NAME,ADDR_DC,LN_1_ADR,LN_2_ADR,LN_3_ADR,CITY_NAME,MAIL_STATE_DC,POSTAL_CD,VEND_APPRVL_CD,VEND_GRP_CD,lat,lon
ADVANCE MANUFACTURING,ORD1,8 Turnpike Industrial Road, , ,Westfield,MA,01085,A,CRTCAL,,
ADVANCE SAFETY EQUIPMENT,PMT1,PO BOX 1111, , ,VIRGINIA BEACH,VA,23451,A,SAFTY,,
ADVANCED DESIGN FAB CORP.,PMT1,PO BOX 6069, , ,CHESAPEAKE,VA,23323,A,LABEL,,
ADVANCED DESIGN FABRICATI,ORD1,1220 B Fleetway Dr, , ,Chesapeake,VA,23323,A,CRTCAL,,
ADVANCED DESIGN FABRICATI,REMIT,P.O. BOX 6096, , ,Chesapeake,VA,23323,A,CRTCAL,,
ADVANCED DESIGN FABRICATI,PMT1,PO BOX 6096, , ,CHESAPEAKE,VA,23323,A,CRTCAL,,
ADVANCED DESIGN FABRICATI,PMT2,1220-B FLEETWAY DRIVE, , ,CHESAPEAKE,VA,23323,A,CRTCAL,,
ADVANCED MACHINE & TOOLIN,ORD1,5725 ARROWHEAD DRIVE, , ,VIRGINIA BEACH,VA,23607,A,CRTCAL,,
ADVANCED MACHINE & TOOLIN,PMT1,5725 ARROWHEAD DRIVE, , ,VIRGINIA BEACH,VA,23462,A,CRTCAL,,
ADVANCED PACKAGING,ORD1,4818 Seton Drive, , ,Baltimore,MD,21215,A,PACK,,
ADVANCED PROJECT CONTROLS,PMT1,3449 MANGROVE AVENUE, , ,NORFOLK,VA,23502,A,TOOLS,,
ADVANCED TEST EQUIPMENT R,ORD1,10401 ROSELLE STREET, , ,SAN DIEGO,CA,92121,A,SUB,,
ADVANCED TEST EQUIPMENT R,PMT,PO BOX 910036, , ,SAN DIEGO,CA,92121,A,SUB,,
ADVANCED TEST EQUIPMENT R,RETN1,ADVANCED TEST EQUIPMENT RENTAL,ATTN: RECEIVING,10401 ROSELLE STREET,SAN DIEGO,CA,92121,A,SUB,,
ADVANTAGE MACHINE & ENGIN,ORD1,2043 PONDEROSA ST, , ,PORTSMOUTH,VA,23701,A,CRTCAL,,
ADVANTEC MANUFACTURING,ORD1, 28336 Hunter Creek Road, , ,Gold Beach,OR,97444,A,MANUF,,
ADVEX CORPORATION,PMT1,41 RESEARCH DRIVE, , ,HAMPTON,VA,23666,A,CRTCAL,,
ADVEX CORPORATION,ORD1,121 Floyd Thompson Dr., , ,HAMPTON,VA,23666,A,CRTCAL,,
AEROANTENNA TECHNOLOGY,ORD1,20732 Lassen Street , , ,Chatsworth ,CA,91311,A,ELECTR,,
AEROBASE GROUP,PMT1,P.O. BOX 490, , ,CHESTERFIELD,VA,23832,A,TOOLS,,
AEROTEK,PMT1,3689 COLLECTION CTR DR., , ,CHICAGO,IL,60693,A,ELECTR,,
AFFORDABLE CANVAS,ORD1,4661 HAYGOOD RD, , ,VIRGINIA BEACH,VA,23455,A,CANVAS,,
AFFORDABLE CANVAS,PMT1,9637 BAY POINT DR, , ,NORFOLK,VA,23518,A,CANVAS,,
AFFORDABLE CANVAS,ORD1,9637 BAY POINT DR, , ,NORFOLK,VA,23518,A,CANVAS,,
AFP INDUSTRIES  INC.,PYMT,P.O. BOX 490, , ,CHESTERFIELD,VA,23832,A,VALVES,,
AFP INDUSTRIES  INC.,ORD1,7900 WHITEPINE ROAD , , ,RICHMOND,VA,23237,A,VALVES,,
AFP INDUSTRIES  INC.,ORD1,7900 WHITEPINE RD, , ,RICHMOND,VA,23237,A,VALVES,,
AFP INDUSTRIES  INC.,PMT1,P.O. BOX 490, , ,CHESTERFIELD,VA,23832,A,VALVES,,
AGM CONTAINER CONTROLS,ORD1,3526 EAST FORT LOWELL ROAD, , ,TUCSON,AZ,85716,A,HDW,,
AGM CONTAINER CONTROLS,PMT1,P.O. BOX  40020, , ,TUCSON,AZ,85717-0020,A,HDW,,
AHERN RENTALS,ORD1,1401 Mineral Ave, , ,Las Vegas,NV,89106,A,RENTAL,,
AHERN RENTALS,PMT1,PO Box 271390, , ,Las Vegas,NV,89127-1390,A,RENTAL,,
AIR COMPRESSOR SERVICES,PMT1,3 CUSTOM MILL CT., , ,GREENVILLE,SC,29609,A,COMPR,,
AIR MECHANICAL SOLUTIONS,ORD1,6500 COMMONWEALTH DRIVE, , ,ROANOKE,VA,24018,A,EQUIP,,
AIR MECHANICAL SOLUTIONS,PYMT,6500 COMMONWEALTH DRIVE, , ,ROANOKE,VA,24018,A,EQUIP,,
"AIR POWER, INC.",ORD1,1430 TRINITY AVENUE, , ,HIGHPOINT,NC,27260,A,HDW,,
"AIR POWER, INC.",PMT1,P.O. BOX 5406, , ,HIGHPOINT,NC,27262,A,HDW,,
AIR QUALITY CONSULTANTS ,ORD,2643 COVE POINT PLACE, , ,VIRGINIA BEACH,VA,23454,A,CRTCAL,,
AIRECO SUPPLY INC,PMT1,P.O. BOX 414, , ,SAVAGE,MD,20763-0414,A,HDW,,
"AIRGAS SAFETY, INC",PYMT 1,PO BOX 532609, , ,ATLANTA,GA,30353-2609,A,GAS,,
"AIRGAS USA, LLC",PMT2,PO BOX 734672, , ,DALLAS,TX,75373,A,GAS/WD,,
"AIRGAS USA, LLC",PMT2,PO BOX 734672, , ,DALLAS,TX,75373-4672,A,GAS/WD,,
"AIRGAS USA, LLC",PMT1,PO BOX 532609, , ,ATLANTA,GA,30353-2609,A,GAS/WD,,
"AIRGAS USA, LLC",ORD1,3121 VICTORY BLVD, , ,PORTSMOUTH,VA,23702,A,GAS/WD,,
"AIRGAS USA, LLC",ORD2,5320 N. GRAHAM ST, , ,CHARLOTTE,NC,28269,A,GAS/WD,,
"AIRGAS USA, LLC",PMT1,P.O. BOX 532609, , ,ATLANTA,GA,30353-2609,A,GAS/WD,,
"AIT, LLC",ORD1,2427 INGLESIDE RD., , ,NORFOLK,VA,23513,A,CRTCAL,,
AKZO NOBEL POWDER COATING,ORD1,20 CULVERT ST, , ,NASHVILLE,TN,37210,A,COAT,36.137947,-86.754784
AKZO NOBEL POWDER COATING,ORD2,150 COLUMBIA ST, , ,READING,PA,19601,A,COAT,,
AKZO NOBEL POWDER COATING,PYMT1,62166 COLLECTION CENTER DRIVE, , ,CHICAGO,IL,60693-0621,A,COAT,41.95578,-87.89289
ALASKAN COPPER & BRASS CO,PMT 1,PO BOX 749791, , ,LOS ANGELES,CA,90074-9791,A,AL/STL,,
ALASKAN COPPER & BRASS CO,ORD1,PO BOX 3546, , ,SEATTLE,WA,98124-3546,A,AL/STL,,
ALASKAN COPPER & BRASS CO,PMT 1,PO BOX 749791, , ,LOS ANGELES,CA,90074,A,AL/STL,,
ALASKAN COPPER & BRASS CO,ORD1,1140-B AZALEA GARDEN ROAD, , ,NORFOLK,VA,23502,A,AL/STL,,
ALATAS AMERICAS,ORD1,22015 Sputh Freeway, , ,Manvel,TX,77578,A,CRANE,,
ALBANY STEEL AND BRASS,ORD1,1900 W. Grand Ave, , ,Chicago,IL,60622,A,HDW,,
ALEXANDRIA METAL FINISHER,ORD1,9418 Gunston Cove Rd, , ,Lorton,VA,22079-2314,A,CRTCAL,,
"ALFA LAVAL, INC.",PMT,PO BOX 200081, , ,PITTSBURGH,PA,15251,A,CRTCAL,,
"ALFA LAVAL, INC.",ORD1,955 Mearns Road , , ,WARMINSTER,PA,18974,A,CRTCAL,,
ALLIANCE MATERIAL HANDLIN,ORD1,921 Corporate Ln Suite B, , ,Chesapeake,VA,23320,A,SERVIC,,
ALLIANCE MATERIAL HANDLIN,PMT1,P.O. BOX 62050, , ,BALTIMORE,MD,21264-2050,A,SERVIC,,
ALLIED ELECTRONICS,ORD1,801 Jones Franklin Rd,Suite 290, ,RALEIGH,NC,27606-3381,A,ELECTR,,
ALLIED ELECTRONICS,ORD2,7151 Jack Newell Blvd S., , ,FORT WORTH,TX,769118,A,ELECTR,,
ALLIED ELECTRONICS,PMT1,PO Box 2325, , ,FORT WORTH,TX,76113-2325,A,ELECTR,,
"ALLIED ELECTRONICS, INC.",ORD1,7151 JACK NEWELL, , ,FT WORTH ,TX,76118,A,ELECTR,,
"ALLIED ELECTRONICS, INC.",ORD2,4525 E HONEYGROVE RD,STE 202, ,VIRGINIA BEACH,VA,23455,A,ELCTRN,,
"ALLIED ELECTRONICS, INC.",REMIT,PO Box 2325, , ,Fort Worth,TX,76113-2325,A,ELCTRN,,
"ALLIED ELECTRONICS, INC.",PMT 2,PO Box 841811, , ,Dallas,TX,75284-1811,A,ELCTRN,,
"ALLIED ELECTRONICS, INC.",PMT 1,PO BOX 841811, , ,DALLAS,TX,75284-1811,A,ELECTR,,
ALLIED INDUSTRIAL,ORD1,W67 N222 Evergreen Blvd,Suite 209, ,Cedarburg,WI,53012,A,TESTNG,,
ALLIED SYSTEMS COMPANY,9799,21433 SW Oregon St, , ,SHERWOOD,OR,97140-9799,A,CRTCAL,,
ALLIED TRAILERS INC.,PMT1,PO BOX 427, , ,SAVAGE,MD,20763-0427,A,CRTCAL,,
ALLIED WIRE & CABLE,ORD1,PO BOX 2325, , ,FT WORTH ,TX,76113,A,ELECTR,,
ALLIED WIRE & CABLE,PMNT 1,P.O. BOX 841811, , ,DALLAS,TX,75284-1811,A,ELECTR,,
ALRO STEEL CORPORATION,ORD1,11945 GOODRICH DRIVE, , ,CHARLOTTE,NC,28273-4506,A,STL,,
ALRO STEEL CORPORATION,PMT 2,7966 NATIONAL SERVICE ROAD, , ,GREENSBORO,NC,27409,A,STL,,
ALRO STEEL CORPORATION,PMT 3,DEPT 771478,PO BOX 77000, ,DETROIT,MI,48277,A,STL,,
ALRO STEEL CORPORATION,PMT1,PO BOX 905071, , ,CHARLOTTE,NC,28290,A,STL,,
ALRO STEEL CORPORATION,PMT 1,DEPT 771478,PO BOX 77000, ,DETROIT,MI,48277-1478,A,STL,,
ALRO STEEL CORPORATION,ORD1,7966 NATIONAL SERVICE ROAD, , ,GREENSBOROR,NC,27409,A,STL,,
ALUMINUM CABINET CO,ORD1,4785 SWAN LAKE RD, , ,HERMANTOWN,MN,55811,A,MANUF,,
ALUMINUM CABINET CO,PMT1,4785 SWAN LAKE RD, , ,HERMANTOWN,MN,55811,A,MANUF,,
ALUMINUM CABINET CO,PMT2,4930 LIGHTNING DRIVE,SUITE 1, ,HERMANTOWN,MN,55811,A,MANUF,,
ALUMINUM DISTRIBUTING,ORD1,2930 SW 2ND AVE, , ,FORT LAUDERDALE,FL,33315,A,AL/STL,,
"AMERICAN ELECTRICAL, INC.",ORD1,456 Southlake Blvd, , ,Richmond,VA,23236,A,ELCTRN,,
